| Unnamed: 0                                                          | Unnamed: 1                | Unnamed: 2                                                                          | Unnamed: 3   | Unnamed: 4   | Unnamed: 5          | Unnamed: 6   |
| C000004 - ANNIC S.A.S.                                              | PFT604G00090000000        | Puntali fibra vetro gommino art. 604GS-9 EN22568A-s Totale                          | 2026         | set Totale   | 2025-09-02 00:00:00 | 11200        |
| C000004 - ANNIC S.A.S.                                              | PFT604G00090000000 Totale | Puntali fibra vetro gommino art. 604GS-9 EN22568A-s Totale                          | 2026         | set Totale   | 2025-09-02 00:00:00 | 11200        |
| C000004 - ANNIC S.A.S.                                              | PFT604G00100000000        | Puntali fibra vetro gommino art. 604GS-10 EN22568A-s                                | 2025         | set          | 2025-09-02 00:00:00 | 5000         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00100000000        | Puntali fibra vetro gommino art. 604GS-10 EN22568A-s                                | 2025         | set Totale   | 2025-09-02 00:00:00 | 5000         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00100000000        | Puntali fibra vetro gommino art. 604GS-10 EN22568A-s                                | 2025 Totale  | set Totale   | 2025-09-02 00:00:00 | 5000         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00100000000        | Puntali fibra vetro gommino art. 604GS-10 EN22568A-s                                | 2026         | set Totale   | 2025-09-02 00:00:00 | 1200         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00100000000        | Puntali fibra vetro gommino art. 604GS-10 EN22568A-s Totale                         | 2026         | set Totale   | 2025-09-02 00:00:00 | 6200         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00100000000 Totale | Puntali fibra vetro gommino art. 604GS-10 EN22568A-s Totale                         | 2026         | set Totale   | 2025-09-02 00:00:00 | 6200         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00110000000        | Puntali fibra vetro gommino art. 604GS-11 EN22568A-s                                | 2025         | set          | 2025-09-02 00:00:00 | 2000         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00110000000        | Puntali fibra vetro gommino art. 604GS-11 EN22568A-s                                | 2025         | set          | 2025-09-03 00:00:00 | 13           |
| C000004 - ANNIC S.A.S.                                              | PFT604G00110000000        | Puntali fibra vetro gommino art. 604GS-11 EN22568A-s                                | 2025         | set Totale   | 2025-09-03 00:00:00 | 2013         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00110000000        | Puntali fibra vetro gommino art. 604GS-11 EN22568A-s                                | 2025 Totale  | set Totale   | 2025-09-03 00:00:00 | 2013         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00110000000        | Puntali fibra vetro gommino art. 604GS-11 EN22568A-s Totale                         | 2025 Totale  | set Totale   | 2025-09-03 00:00:00 | 2013         |
| C000004 - ANNIC S.A.S.                                              | PFT604G00110000000 Totale | Puntali fibra vetro gommino art. 604GS-11 EN22568A-s Totale                         | 2025 Totale  | set Totale   | 2025-09-03 00:00:00 | 2013         |
| C000004 - ANNIC S.A.S.                                              | (vuoto)                   | (vuoto)                                                                             | 2025         | set          | 2025-09-02 00:00:00 | 0            |
| C000004 - ANNIC S.A.S.                                              | (vuoto)                   | (vuoto)                                                                             | 2025         | set          | 2025-09-03 00:00:00 | 0            |
| C000004 - ANNIC S.A.S.                                              | (vuoto)                   | (vuoto)                                                                             | 2025         | set Totale   | 2025-09-03 00:00:00 | 0            |
| C000004 - ANNIC S.A.S.                                              | (vuoto)                   | (vuoto)                                                                             | 2025         | nov          | 2025-11-10 00:00:00 | 0            |
| C000004 - ANNIC S.A.S.                                              | (vuoto)                   | (vuoto)                                                                             | 2025         | nov Totale   | 2025-11-10 00:00:00 | 0            |
| C000004 - ANNIC S.A.S.                                              | (vuoto)                   | (vuoto)                                                                             | 2025 Totale  | nov Totale   | 2025-11-10 00:00:00 | 0            |
| C000004 - ANNIC S.A.S.                                              | (vuoto)                   | (vuoto)                                                                             | 2026         | nov Totale   | 2025-11-10 00:00:00 | 0            |
| C000004 - ANNIC S.A.S.                                              | (vuoto)                   | (vuoto) Totale                                                                      | 2026         | nov Totale   | 2025-11-10 00:00:00 | 0            |
| C000004 - ANNIC S.A.S.                                              | (vuoto) Totale            | (vuoto) Totale                                                                      | 2026         | nov Totale   | 2025-11-10 00:00:00 | 0            |
| C000004 - ANNIC S.A.S. Totale                                       | (vuoto) Totale            | (vuoto) Totale                                                                      | 2026         | nov Totale   | 2025-11-10 00:00:00 | 35513        |
| C000004 - ANNIC S.A.S. Totale                                       | (vuoto) Totale            | (vuoto) Totale                                                                      | 2026         | nov Totale   | 2025-11-10 00:00:00 | 35513        |
| C000018 - PANTHER SRL                                               | PSO0785VR060000000        | Solette acc.inox art. 785-6 EN22568A-s                                              | 2026         | nov Totale   | 2025-11-10 00:00:00 | 100          |
| C000018 - PANTHER SRL                                               | PSO0785VR060000000        | Solette acc.inox art. 785-6 EN22568A-s Totale                                       | 2026         | nov Totale   | 2025-11-10 00:00:00 | 100          |
| C000018 - PANTHER SRL                                               | PSO0785VR060000000 Totale | Solette acc.inox art. 785-6 EN22568A-s Totale                                       | 2026         | nov Totale   | 2025-11-10 00:00:00 | 100          |
| C000018 - PANTHER SRL                                               | PSO0785VR070000000        | Solette acc.inox art. 785-7 EN22568A-s                                              | 2026         | nov Totale   | 2025-11-10 00:00:00 | 400          |
| C000018 - PANTHER SRL                                               | PSO0785VR070000000        | Solette acc.inox art. 785-7 EN22568A-s Totale                                       | 2026         | nov Totale   | 2025-11-10 00:00:00 | 400          |
| C000018 - PANTHER SRL                                               | PSO0785VR070000000 Totale | Solette acc.inox art. 785-7 EN22568A-s Totale                                       | 2026         | nov Totale   | 2025-11-10 00:00:00 | 400          |
| C000018 - PANTHER SRL                                               | PSO0785VR080000000        | Solette acc.inox art. 785-8 EN22568A-s                                              | 2026         | nov Totale   | 2025-11-10 00:00:00 | 1000         |
| C000018 - PANTHER SRL                                               | PSO0785VR080000000        | Solette acc.inox art. 785-8 EN22568A-s Totale                                       | 2026         | nov Totale   | 2025-11-10 00:00:00 | 1000         |
| C000018 - PANTHER SRL                                               | PSO0785VR080000000 Totale | Solette acc.inox art. 785-8 EN22568A-s Totale                                       | 2026         | nov Totale   | 2025-11-10 00:00:00 | 1000         |
| C000018 - PANTHER SRL                                               | PSO0785VR090000000        | Solette acc.inox art. 785-9 EN22568A-s                                              | 2026         | nov Totale   | 2025-11-10 00:00:00 | 600          |
| C000018 - PANTHER SRL                                               | PSO0785VR090000000        | Solette acc.inox art. 785-9 EN22568A-s Totale                                       | 2026         | nov Totale   | 2025-11-10 00:00:00 | 600          |
| C000018 - PANTHER SRL                                               | PSO0785VR090000000 Totale | Solette acc.inox art. 785-9 EN22568A-s Totale                                       | 2026         | nov Totale   | 2025-11-10 00:00:00 | 600          |
| C000018 - PANTHER SRL                                               | PSO0785VR100000000        | Solette acc.inox art. 785-10 EN22568A-s                                             | 2026         | nov Totale   | 2025-11-10 00:00:00 | 200          |
| C000018 - PANTHER SRL                                               | PSO0785VR100000000        | Solette acc.inox art. 785-10 EN22568A-s Totale                                      | 2026         | nov Totale   | 2025-11-10 00:00:00 | 200          |
| C000018 - PANTHER SRL                                               | PSO0785VR100000000 Totale | Solette acc.inox art. 785-10 EN22568A-s Totale                                      | 2026         | nov Totale   | 2025-11-10 00:00:00 | 200          |
| C000018 - PANTHER SRL Totale                                        | PSO0785VR100000000 Totale | Solette acc.inox art. 785-10 EN22568A-s Totale                                      | 2026         | nov Totale   | 2025-11-10 00:00:00 | 2300         |
| C000018 - PANTHER SRL Totale                                        | PSO0785VR100000000 Totale | Solette acc.inox art. 785-10 EN22568A-s Totale                                      | 2026         | nov Totale   | 2025-11-10 00:00:00 | 2300         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107HR060B00000        | Puntali acciaio sp. 2.0 rialzati art. 107-6 EN22568B-s                              | 2025         | set          | 2025-09-10 00:00:00 | 200          |
| C000038 - BASE PROTECTION SRL                                       | PPU0107HR060B00000        | Puntali acciaio sp. 2.0 rialzati art. 107-6 EN22568B-s                              | 2025         | set Totale   | 2025-09-10 00:00:00 | 200          |
| C000038 - BASE PROTECTION SRL                                       | PPU0107HR060B00000        | Puntali acciaio sp. 2.0 rialzati art. 107-6 EN22568B-s                              | 2025 Totale  | set Totale   | 2025-09-10 00:00:00 | 200          |
| C000038 - BASE PROTECTION SRL                                       | PPU0107HR060B00000        | Puntali acciaio sp. 2.0 rialzati art. 107-6 EN22568B-s Totale                       | 2025 Totale  | set Totale   | 2025-09-10 00:00:00 | 200          |
| C000038 - BASE PROTECTION SRL                                       | PPU0107HR060B00000 Totale | Puntali acciaio sp. 2.0 rialzati art. 107-6 EN22568B-s Totale                       | 2025 Totale  | set Totale   | 2025-09-10 00:00:00 | 200          |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR080000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-8 EN22568A-s                         | 2025         | set          | 2025-09-10 00:00:00 | 7500         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR080000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-8 EN22568A-s                         | 2025         | set          | 2025-09-17 00:00:00 | 1300         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR080000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-8 EN22568A-s                         | 2025         | set          | 2025-09-22 00:00:00 | 1600         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR080000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-8 EN22568A-s                         | 2025         | set Totale   | 2025-09-22 00:00:00 | 10400        |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR080000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-8 EN22568A-s                         | 2025         | dic          | 2025-09-22 00:00:00 | 1800         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR080000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-8 EN22568A-s                         | 2025 Totale  | dic          | 2025-09-22 00:00:00 | 12200        |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR080000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-8 EN22568A-s                         | 2026         | dic          | 2025-09-22 00:00:00 | 2500         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR080000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-8 EN22568A-s Totale                  | 2026         | dic          | 2025-09-22 00:00:00 | 14700        |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR080000000 Totale | Puntali acciaio sp. 1.8 flangia magg. art. 107-8 EN22568A-s Totale                  | 2026         | dic          | 2025-09-22 00:00:00 | 14700        |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR090000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-9 EN22568A-s                         | 2025         | set          | 2025-09-10 00:00:00 | 5100         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR090000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-9 EN22568A-s                         | 2025         | set          | 2025-09-17 00:00:00 | 1500         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR090000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-9 EN22568A-s                         | 2025         | set          | 2025-09-22 00:00:00 | 1900         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR090000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-9 EN22568A-s                         | 2025         | set Totale   | 2025-09-22 00:00:00 | 8500         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR090000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-9 EN22568A-s                         | 2025         | nov          | 2025-11-03 00:00:00 | 400          |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR090000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-9 EN22568A-s                         | 2025         | nov Totale   | 2025-11-03 00:00:00 | 400          |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR090000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-9 EN22568A-s                         | 2025         | dic          | 2025-11-03 00:00:00 | 8000         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR090000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-9 EN22568A-s                         | 2025 Totale  | dic          | 2025-11-03 00:00:00 | 16900        |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR090000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-9 EN22568A-s                         | 2026         | dic          | 2025-11-03 00:00:00 | 1900         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR090000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-9 EN22568A-s Totale                  | 2026         | dic          | 2025-11-03 00:00:00 | 18800        |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR090000000 Totale | Puntali acciaio sp. 1.8 flangia magg. art. 107-9 EN22568A-s Totale                  | 2026         | dic          | 2025-11-03 00:00:00 | 18800        |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR100000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-10 EN22568A-s                        | 2025         | set          | 2025-09-10 00:00:00 | 1000         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR100000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-10 EN22568A-s                        | 2025         | set          | 2025-09-17 00:00:00 | 1000         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR100000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-10 EN22568A-s                        | 2025         | set          | 2025-09-22 00:00:00 | 1300         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR100000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-10 EN22568A-s                        | 2025         | set Totale   | 2025-09-22 00:00:00 | 3300         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR100000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-10 EN22568A-s                        | 2025         | dic          | 2025-09-22 00:00:00 | 3600         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR100000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-10 EN22568A-s                        | 2025 Totale  | dic          | 2025-09-22 00:00:00 | 6900         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR100000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-10 EN22568A-s                        | 2026         | dic          | 2025-09-22 00:00:00 | 3400         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR100000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-10 EN22568A-s Totale                 | 2026         | dic          | 2025-09-22 00:00:00 | 10300        |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR100000000 Totale | Puntali acciaio sp. 1.8 flangia magg. art. 107-10 EN22568A-s Totale                 | 2026         | dic          | 2025-09-22 00:00:00 | 10300        |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR110000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-11 EN22568A-s                        | 2026         | dic          | 2025-09-22 00:00:00 | 6100         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR110000000        | Puntali acciaio sp. 1.8 flangia magg. art. 107-11 EN22568A-s Totale                 | 2026         | dic          | 2025-09-22 00:00:00 | 6100         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107MR110000000 Totale | Puntali acciaio sp. 1.8 flangia magg. art. 107-11 EN22568A-s Totale                 | 2026         | dic          | 2025-09-22 00:00:00 | 6100         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107RR070B00000        | Puntali acciaio sp. 2.0 art. 107-7 EN22568B-s                                       | 2025         | set          | 2025-09-10 00:00:00 | 1900         |
| C000038 - BASE PROTECTION SRL                                       | PPU0107RR070B00000        | Puntali acciaio sp. 2.0 art. 107-7 EN22568B-s                                       | 2025         | set          | 2025-09-17 00:00:00 | 500          |
| C000038 - BASE PROTECTION SRL                                       | PPU0107RR070B00000        | Puntali acciaio sp. 2.0 art. 107-7 EN22568B-s                                       | 2025         | set          | 2025-09-22 00:00:00 | 800          |
| C000038 - BASE PROTECTION SRL                                       | PPU0107RR070B00000        | Puntali acciaio sp. 2.0 art. 107-7 EN22568B-s                                       | 2025         | set Totale   | 2025-09-22 00:00:00 | 3200         |
